date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:05	114856/114856	---M--	200	added ('OK')	image/jpeg	etag:%221c0a8-5d5464def78ac%22	https://themesdesign.in/zoric-react/layout/images/portfolio/img-7.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/portfolio/img-7.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:06	87277/87277	---M--	200	added ('OK')	image/jpeg	etag:%22154ed-5d5464def78ac%22	https://themesdesign.in/zoric-react/layout/images/portfolio/img-8.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/portfolio/img-8.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:07	30358/30358	---M--	200	added ('OK')	image/jpeg	etag:%227696-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/blog/img-1.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/blog/img-1.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:08	77138/77138	---M--	200	added ('OK')	image/jpeg	etag:%2212d52-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/blog/img-2.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/blog/img-2.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:09	72480/72480	---M--	200	added ('OK')	image/jpeg	etag:%2211b20-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/blog/img-3.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/blog/img-3.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:10	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:%2213131-5d5464def884c-gzip%22	https://themesdesign.in/zoric-react/layout/js/bootstrap.bundle.min.js	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/js/bootstrap.bundle.min.js	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:11	55976/55976	---M-Z	200	added ('OK')	application/javascript	etag:%22daa8-5d5464def97ed-gzip%22	https://themesdesign.in/zoric-react/layout/js/glightbox.min.js	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/js/glightbox.min.js	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:12	19907/19907	---M-Z	200	added ('OK')	application/javascript	etag:%224dc3-5d5464def97ed-gzip%22	https://themesdesign.in/zoric-react/layout/js/shuffle.min.js	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/js/shuffle.min.js	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:13	4247/4247	---M-Z	200	added ('OK')	application/javascript	etag:%221097-5d5464def97ed-gzip%22	https://themesdesign.in/zoric-react/layout/js/gallery.init.js	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/js/gallery.init.js	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:14	4698/4698	---M-Z	200	added ('OK')	application/javascript	etag:%22125a-5d5464def884c-gzip%22	https://themesdesign.in/zoric-react/layout/js/app.js	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/js/app.js	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:09:17	1026396/1026396	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22fa95c-5d5464deeccc8%22	https://themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfont.eot?v=5.9.55	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfont3e71.eot	(from https://themesdesign.in/zoric-react/layout/css/materialdesignicons.min.css)
22:09:17	1026396/1026396	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22fa95c-5d5464deeccc8%22	https://themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfont.eot?	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfontd41d.eot	(from https://themesdesign.in/zoric-react/layout/css/materialdesignicons.min.css)
22:09:19	325244/325244	---M--	200	added ('OK')	text/html	etag:%224f67c-5d5464deeec09%22	https://themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfont.woff2?v=5.9.55	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfont3e71.html	(from https://themesdesign.in/zoric-react/layout/css/materialdesignicons.min.css)
22:09:20	465188/465188	---M--	200	added ('OK')	application/font-woff	etag:%2271924-5d5464deeec09%22	https://themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfont.woff?v=5.9.55	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfont3e71.woff	(from https://themesdesign.in/zoric-react/layout/css/materialdesignicons.min.css)
22:09:21	253840/253840	---M--	200	added ('OK')	image/jpeg	etag:%223df90-5d5464def596b%22	https://themesdesign.in/zoric-react/layout/images/home/bg-home1-1.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/home/bg-home1-1.jpg	(from https://themesdesign.in/zoric-react/layout/css/style.min.css)
22:09:21	278/278	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2016:39:21%20GMT	https://themesdesign.in/zoric-react/layout/images/bg-1.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/bg-1.jpg	(from https://themesdesign.in/zoric-react/layout/css/style.min.css)
22:09:22	1026176/1026176	---M--	200	added ('OK')	application/font-sfnt	etag:%22fa880-5d5464deeec09%22	https://themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfont.ttf?v=5.9.55	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/fonts/materialdesignicons-webfont3e71.ttf	(from https://themesdesign.in/zoric-react/layout/css/materialdesignicons.min.css)
22:09:22	98672/98672	---M--	200	added ('OK')	image/png	etag:%2218170-5d5464deefba9%22	https://themesdesign.in/zoric-react/layout/images/bg-cta.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/bg-cta.png	(from https://themesdesign.in/zoric-react/layout/css/style.min.css)
